Mesalina,Mesalina bahaeldini,species
Tortricidae,Anopina,genus
Oecophoridae,Mathildana,genus
Taygetis,Taygetis virgilia,species
Tetragnatha,Tetragnatha laboriosa,species
Anania,Anania helvalis,species
Centrolophidae,Seriolella,genus
Dasyclonium,Dasyclonium incisum,species
Chrysina,Chrysina aurilisternum,species
Pseudostenophylax,Pseudostenophylax tochigiensis,species
Dichelotarsus,Dichelotarsus fissilis,species
Sepsidae,Australosepsis,genus
Erebidae,Afrasura,genus
gelJanzen01,gelJanzen01 Janzen15,species
Cylloceria,Cylloceria malaise0145,species
Whitmania,Whitmania pigra,species
Cephise,Cephise nuspesezDHJ01,species
Carebara,Carebara grandidieri,species
Hylesia,Hylesia praedpichinchensis,species
Siriella,Siriella sp.,species
Scotiptera,Scotiptera Malaise5265,species
Choerodon,Choerodon sugillatum,species
Coleophora,Coleophora caelebipennella,species
Smicridea,Smicridea sp.,species
Eumida,Eumida fauchaldi,species
Nymphalidae,Nymphalis,genus
Antedonidae,Anthometrina,genus
phyBioLep01,phyBioLep01 BioLep509,species
Dacus,Dacus aequalis,species
Phasmida,Diapheromeridae,family
Chrysomya,Chrysomya rufifacies,species
Ampithoidae,Ampithoe,genus
Metridinidae,Metridia,genus
Anura,Pelodryadidae,family
Sciaridae,Trichosiopsis,genus
Anyphaena,Anyphaena pectorosa,species
Tortricidae,Olethreutes,genus
Mimagoniates,Mimagoniates lateralis,species
Promylea,Promylea lunigerella,species
Neritidae,Theodoxus,genus
Mesocyclops,Mesocyclops leuckarti,species
Polynoe,Polynoe sp.,species
Grapholita,Grapholita orobana,species
Lepetellida,Haliotidae,family
Epermeniidae,Ochromolopis,genus
Epinotia,Epinotia cinereana,species
Haemulon,Haemulon parra,species
Adelphocoris,Adelphocoris nigritylus,species
Lophiidae,Lophius,genus
Chionoecetes,Chionoecetes opilio,species
Hesperiidae,Gomalia,genus
Fulmarus,Fulmarus glacialis,species
Euchlaena,Euchlaena tigrinaria,species
Pseudoschinia,Pseudoschinia elautalis,species
Scolopendridae,Digitipes,genus
Bombus,Bombus ruderatus,species
Braueriana,Braueriana fiorino,species
Olethreutinae,Olethreutinae sp. 5,species
Semaeostomeae,Cyaneidae,family
Cichlidae,Paretroplus,genus
Paranonychidae,Paranonychus,genus
Tenthredinidae,Monophadnus,genus
Crambidae,Steniodes,genus
Margaritiferidae,Gibbosula,genus
